OBJECTID,StopId,StopAbbr,StopName,Bench,Shelter,Routes,County,Id2,TotalPop,County_1,TotMinority,PerMinorityState,PerMinorityCounty,PerMinorityBG,TotPoverty,PerPovState,PerPovCounty,PerPovBG,TotLEP,PerLEPBG,PerLEPCounty,PerLEPState,OriginalSqFt,Shape_Length,Shape_Area,SqFtBuffer,Est_TotPop_BuffArea,Est_TotMinority_BuffArea,Est_TotPov_BuffArea,Est_TotLEP_BuffArea,Est_TotPop_PostRemovedDupIntersects,Est_TotMinority_PostRemovedDupIntersects,Est_TotPov_PostRemovedDupIntersects,Est_TotLEP_PostRemovedDupIntersects
142,3392,18BP,SR18/404 OP FD LN BRVILL PARK SC,0,0,212,Sussex County,1.00051E+11,2659,Sussex,1087,36.96,25.15,40.88,608,12.12,12.01,22.87,184,7.03,4.65,4.39,148316897.7,20.5222826,0.223724184,2.408137442,0,0,0,0,50,21,7,3
143,458,MASS,MAIN ST- BRIDGEVILLE AT AUSTIN LANE,0,0,212,Sussex County,1.00051E+11,1921,Sussex,1328,36.96,25.15,69.13,538,12.12,12.01,28.01,294,17.72,4.65,4.39,290344790.5,247.9137751,360.5238302,3880.630689,0,0,0,0,98,40,22,7
144,458,MASS,MAIN ST- BRIDGEVILLE AT AUSTIN LANE,0,0,212,Sussex County,1.00051E+11,2659,Sussex,1087,36.96,25.15,40.88,608,12.12,12.01,22.87,184,7.03,4.65,4.39,148316897.7,2359.697812,21341.79046,229720.2018,98,40,22,7,98,40,22,7
145,459,BGSC,BRIDGEVILLE STSC AT MILL/CANNON ST,1,1,212,Sussex County,1.00051E+11,2143,Sussex,525,36.96,25.15,24.5,563,12.12,12.01,26.27,258,13.31,4.65,4.39,747142971,1365.845491,80348.58798,864861.5437,2,1,1,0,85,35,20,6
146,459,BGSC,BRIDGEVILLE STSC AT MILL/CANNON ST,1,1,212,Sussex County,1.00051E+11,2659,Sussex,1087,36.96,25.15,40.88,608,12.12,12.01,22.87,184,7.03,4.65,4.39,148316897.7,2610.508352,428195.0504,4609034.727,83,34,19,6,85,35,20,6
147,2971,MASH,MAIN ST- BRIDGEVILLE AT JACOBS AVE,0,0,212,Sussex County,1.00051E+11,1921,Sussex,1328,36.96,25.15,69.13,538,12.12,12.01,28.01,294,17.72,4.65,4.39,290344790.5,90.7347351,47.51981124,511.4969452,0,0,0,0,98,40,22,7
148,2971,MASH,MAIN ST- BRIDGEVILLE AT JACOBS AVE,0,0,212,Sussex County,1.00051E+11,2659,Sussex,1087,36.96,25.15,40.88,608,12.12,12.01,22.87,184,7.03,4.65,4.39,148316897.7,2466.251346,21654.96608,233091.1826,98,40,22,7,98,40,22,7
149,3500,13SM,US RT 13 @ ENTR SUNRISE MOTEL,0,0,212,Sussex County,1.00051E+11,1323,Sussex,442,36.96,25.15,33.41,340,12.12,12.01,25.7,93,7.35,4.65,4.39,95582961.44,2037.943639,34928.37688,375964.4158,41,14,11,3,69,22,13,3
150,3500,13SM,US RT 13 @ ENTR SUNRISE MOTEL,0,0,212,Sussex County,1.00051E+11,1781,Sussex,518,36.96,25.15,29.08,111,12.12,12.01,6.23,20,1.17,4.65,4.39,155967478.2,548.0802899,3897.096152,41947.82607,28,8,2,0,69,22,13,3
151,461,13SV,SEAFORD VILLAGE SC ROSES/DOLLAR STO,0,0,212903,Sussex County,1.00051E+11,1323,Sussex,442,36.96,25.15,33.41,340,12.12,12.01,25.7,93,7.35,4.65,4.39,95582961.44,991.0727922,53582.89741,576759.2006,18,6,5,1,153,72,39,4
152,461,13SV,SEAFORD VILLAGE SC ROSES/DOLLAR STO,0,0,212903,Sussex County,1.00051E+11,1639,Sussex,833,36.96,25.15,50.82,443,12.12,12.01,29.22,45,2.97,4.65,4.39,41379601.61,1020.573207,21731.70306,233917.1693,123,62,33,3,153,72,39,4
153,2972,13SE,SEAFORD VILLAGE SC DIALYSIS CENTER,0,0,212903,Sussex County,1.00051E+11,1639,Sussex,833,36.96,25.15,50.82,443,12.12,12.01,29.22,45,2.97,4.65,4.39,41379601.61,332.8548942,3014.287615,32445.39208,160,81,43,4,177,86,44,4
154,2973,NEMC,NOR ESKRIDGE PWY AT US13  MCDONALDS,0,0,212903,Sussex County,1.00051E+11,1781,Sussex,518,36.96,25.15,29.08,111,12.12,12.01,6.23,20,1.17,4.65,4.39,155967478.2,794.3790503,29649.08599,319138.829,14,4,1,0,283,168,51,26
155,2973,NEMC,NOR ESKRIDGE PWY AT US13  MCDONALDS,0,0,212903,Sussex County,1.00051E+11,2119,Sussex,1410,36.96,25.15,66.54,295,12.12,12.01,15.03,279,14.04,4.65,4.39,22018209.53,1056.871197,50666.74954,545370.1716,173,115,24,23,283,168,51,26
156,3306,FSWA,FRONT ST AT MILL ST,0,0,212,Sussex County,1.00051E+11,2119,Sussex,1410,36.96,25.15,66.54,295,12.12,12.01,15.03,279,14.04,4.65,4.39,22018209.53,444.9468661,2514.284663,27063.42662,444,296,62,59,478,313,71,60
157,3307,FSPO,FRONT ST @ POPLAR ST,0,0,212,Sussex County,1.00051E+11,2119,Sussex,1410,36.96,25.15,66.54,295,12.12,12.01,15.03,279,14.04,4.65,4.39,22018209.53,112.023395,205.1476039,2208.181598,515,343,72,68,517,344,72,68
158,3019,MAS7,MARKET ST & 7TH ST,0,0,212,Sussex County,1.00051E+11,3639,Sussex,1461,36.96,25.15,40.15,428,12.12,12.01,11.77,310,9.23,4.65,4.39,192138465.7,2527.950731,8973.968464,96594.60625,104,42,12,9,104,42,12,9
159,2979,13SU,US 13A & SUSSEX MANOR TP,0,0,212,Sussex County,1.00051E+11,3639,Sussex,1461,36.96,25.15,40.15,428,12.12,12.01,11.77,310,9.23,4.65,4.39,192138465.7,2527.951767,21634.8394,232874.5417,104,42,12,9,104,42,12,9
160,3839,ONSB,SEAFORD ROAD AND ONEALS RD SOUTH,0,0,212,Sussex County,1.00051E+11,3639,Sussex,1461,36.96,25.15,40.15,428,12.12,12.01,11.77,310,9.23,4.65,4.39,192138465.7,2527.954071,25992.71029,279782.086,104,42,12,9,104,42,12,9
161,3547,13SW,US RT 13A OP SKATE WORLD,0,0,212,Sussex County,1.00051E+11,2233,Sussex,660,36.96,25.15,29.56,596,12.12,12.01,26.69,81,4.06,4.65,4.39,238335538.2,1564.226405,20005.46982,215336.2236,46,14,12,2,56,18,13,3
162,3547,13SW,US RT 13A OP SKATE WORLD,0,0,212,Sussex County,1.00051E+11,3639,Sussex,1461,36.96,25.15,40.15,428,12.12,12.01,11.77,310,9.23,4.65,4.39,192138465.7,1055.563578,11641.28887,125305.2893,10,4,1,1,56,18,13,3
163,3906,WIDA,WILSON ST AT DANIELS ST OPPOSITE CA,0,0,212,Sussex County,1.00051E+11,1874,Sussex,568,36.96,25.15,30.31,209,12.12,12.01,11.26,,,,,74206535.99,480.9497567,1415.101781,15231.96787,29,9,3,0,70,21,14,1
164,3352,CNBG,CENTRAL AVE @ BOYS & GIRLS CLUB,0,0,212,Sussex County,1.00051E+11,2233,Sussex,660,36.96,25.15,29.56,596,12.12,12.01,26.69,81,4.06,4.65,4.39,238335538.2,1127.128338,5619.634235,60488.99752,25,7,7,1,104,38,19,1
165,3352,CNBG,CENTRAL AVE @ BOYS & GIRLS CLUB,0,0,212,Sussex County,1.00051E+11,1874,Sussex,568,36.96,25.15,30.31,209,12.12,12.01,11.26,,,,,74206535.99,36.17217025,6.643357204,71.50821577,62,19,7,0,104,38,19,1
166,2988,CTMK,CENTRAL AVE & MARKET ST,0,0,212,Sussex County,1.00051E+11,2233,Sussex,660,36.96,25.15,29.56,596,12.12,12.01,26.69,81,4.06,4.65,4.39,238335538.2,260.6076711,298.362663,3211.53613,6,2,1,0,175,92,41,0
167,2988,CTMK,CENTRAL AVE & MARKET ST,0,0,212,Sussex County,1.00051E+11,2842,Sussex,1953,36.96,25.15,68.72,917,12.12,12.01,33.42,,,,,61650381.16,472.5633454,1753.415457,18873.5314,101,69,32,0,175,92,41,0
168,3900,W6CR,WEST 6TH ST AT CROCKETT AVE HOPE HO,0,0,212,Sussex County,1.00051E+11,2233,Sussex,660,36.96,25.15,29.56,596,12.12,12.01,26.69,81,4.06,4.65,4.39,238335538.2,1631.154969,90006.06744,968813.3716,16,5,4,1,182,118,57,1
169,3900,W6CR,WEST 6TH ST AT CROCKETT AVE HOPE HO,0,0,212,Sussex County,1.00051E+11,2842,Sussex,1953,36.96,25.15,68.72,917,12.12,12.01,33.42,,,,,61650381.16,322.9513182,4026.362958,43339.23683,165,113,53,0,182,118,57,1
170,3884,WXFD,GREENE AVE AT 6TH ST WEXFORD VILLAG,0,0,212,Sussex County,1.00051E+11,2233,Sussex,660,36.96,25.15,29.56,596,12.12,12.01,26.69,81,4.06,4.65,4.39,238335538.2,437.3902552,7283.132774,78394.67515,7,2,2,0,182,119,57,0
171,3884,WXFD,GREENE AVE AT 6TH ST WEXFORD VILLAG,0,0,212,Sussex County,1.00051E+11,2842,Sussex,1953,36.96,25.15,68.72,917,12.12,12.01,33.42,,,,,61650381.16,1227.282064,67780.62723,729581.6811,171,117,55,0,182,119,57,0
172,3884,WXFD,GREENE AVE AT 6TH ST WEXFORD VILLAG,0,0,212,Sussex County,1.00051E+11,2332,Sussex,274,36.96,25.15,11.75,193,12.12,12.01,8.28,29,1.26,4.65,4.39,596499958.1,1459.278504,36424.95818,392073.4184,4,0,0,0,182,119,57,0
173,3901,W7CR,WEST 7TH ST AT CROCKETT AVE LITTLE,0,0,212,Sussex County,1.00051E+11,2842,Sussex,1953,36.96,25.15,68.72,917,12.12,12.01,33.42,,,,,61650381.16,1206.500845,54011.99325,581377.9313,179,123,58,0,187,125,59,0
174,3901,W7CR,WEST 7TH ST AT CROCKETT AVE LITTLE,0,0,212,Sussex County,1.00051E+11,2332,Sussex,274,36.96,25.15,11.75,193,12.12,12.01,8.28,29,1.26,4.65,4.39,596499958.1,1118.163439,52537.78881,565509.7902,5,1,0,0,187,125,59,0
175,3922,FLEX,FZ: 10TH ST BTWN  POPLAR ST AND WES,0,0,212,Sussex County,1.00051E+11,2842,Sussex,1953,36.96,25.15,68.72,917,12.12,12.01,33.42,,,,,61650381.16,2468.033762,240611.9593,2589915.216,252,173,81,0,252,173,81,0
176,3902,10DE,FZ: 10TH ST BTWN  POPLAR ST AND WES,0,0,212,Sussex County,1.00051E+11,1874,Sussex,568,36.96,25.15,30.31,209,12.12,12.01,11.26,,,,,74206535.99,441.6095844,8277.534447,89098.28286,21,6,2,0,235,153,71,0
177,3902,10DE,FZ: 10TH ST BTWN  POPLAR ST AND WES,0,0,212,Sussex County,1.00051E+11,2842,Sussex,1953,36.96,25.15,68.72,917,12.12,12.01,33.42,,,,,61650381.16,1126.808303,63684.77139,685494.4321,214,147,69,0,235,153,71,0
178,3904,13NA,US RT 13 AT NATIONAL BLVD YODER OVE,0,0,212,Sussex County,1.00051E+11,1874,Sussex,568,36.96,25.15,30.31,209,12.12,12.01,11.26,,,,,74206535.99,2257.696842,34522.46379,371595.2212,74,22,8,0,81,23,8,0
179,3904,13NA,US RT 13 AT NATIONAL BLVD YODER OVE,0,0,212,Sussex County,1.00051E+11,1908,Sussex,243,36.96,25.15,12.74,90,12.12,12.01,4.72,52,2.77,4.65,4.39,651720578.7,301.0698354,1109.914624,11946.9738,7,1,0,0,81,23,8,0
180,3831,DLMR,WOODLAWN AVE AT STATE LINE RD BEHIN,0,0,212,Sussex County,1.00051E+11,1748,Sussex,49,36.96,25.15,2.8,103,12.12,12.01,5.89,39,2.35,4.65,4.39,450173887.4,1041.690112,59913.71681,644903.3008,3,0,0,0,30,5,4,0
181,3831,DLMR,WOODLAWN AVE AT STATE LINE RD BEHIN,0,0,212,Sussex County,1.00051E+11,2891,Sussex,501,36.96,25.15,17.33,396,12.12,12.01,14.44,,,,,200596156.3,1655.636536,172065.7032,1852092.407,27,5,4,0,30,5,4,0
182,3905,13TR,US RT 13 AT TRUSSUM POND RD JOHNNY,0,0,212,Sussex County,1.00051E+11,1874,Sussex,568,36.96,25.15,30.31,209,12.12,12.01,11.26,,,,,74206535.99,302.5892416,1121.028464,12066.60169,65,20,7,0,74,21,7,0
183,3905,13TR,US RT 13 AT TRUSSUM POND RD JOHNNY,0,0,212,Sussex County,1.00051E+11,1908,Sussex,243,36.96,25.15,12.74,90,12.12,12.01,4.72,52,2.77,4.65,4.39,651720578.7,2256.325846,34511.35939,371475.6949,9,1,0,0,74,21,7,0
184,2986,CTN8,CENTRAL AVE & 8TH ST LAUREL MS,0,0,212,Sussex County,1.00051E+11,1874,Sussex,568,36.96,25.15,30.31,209,12.12,12.01,11.26,,,,,74206535.99,1497.213642,101416.9391,1091638.48,71,22,8,0,194,106,48,0
185,2982,CTS4,CENTRAL AVE & 4TH ST BEFORE LAUREL,0,0,212,Sussex County,1.00051E+11,1874,Sussex,568,36.96,25.15,30.31,209,12.12,12.01,11.26,,,,,74206535.99,600.4633369,10724.68288,115439.064,71,21,8,0,191,103,46,0
186,2982,CTS4,CENTRAL AVE & 4TH ST BEFORE LAUREL,0,0,212,Sussex County,1.00051E+11,2842,Sussex,1953,36.96,25.15,68.72,917,12.12,12.01,33.42,,,,,61650381.16,494.9413593,7202.815317,77530.1487,119,82,38,0,191,103,46,0
